行政區,名稱,開放時間,是否有沙坑,是否有廁所,GoogleMap導航,圖片網址,詳細頁網址,經度,緯度,地址
萬華區,老松國小,週六13:00~21:30週日05:00~22:00,無,有,https://www.google.com/maps/search/?api=1&query=%E5%8F%B0%E5%8C%97%E5%B8%82%E8%90%AC%E8%8F%AF%E5%8D%80%E6%A1%82%E6%9E%97%E8%B7%AF64%E8%99%9F%E5%AD%B8%E6%A0%A1%E4%BD%8D%E7%BD%AE%E5%9C%96,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=465698F0ED2C5059,121.50277,25.03802,臺北市萬華區桂林路64號
內湖區,湖山6號公園,00:00~24:00,有,有,https://www.google.com/maps/search/?api=1&query=%E5%85%A7%E6%B9%96%E5%8D%80%E5%A4%A7%E6%B9%96%E8%A1%97166%E5%B7%B7%E5%A4%A7%E6%B9%96%E6%B4%BE%E5%87%BA%E6%89%80%E5%BE%8C%E6%96%B9,,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=7A9A669D0EF1585D,121.60191,25.0835,臺北市內湖區大湖街166巷大湖派出所後方
北投區,知行公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E5%8C%97%E6%8A%95%E5%8D%80%E7%9F%A5%E8%A1%8C%E8%B7%AF255%E5%B7%B7,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=A802CDE6D38385CA,121.46667,25.11973,臺北市北投區知行路255巷
松山區,民生公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E6%B0%91%E7%94%9F%E6%9D%B1%E8%B7%AF%E4%BA%94%E6%AE%B536%E5%B7%B74%E5%BC%84%E8%88%878%E5%BC%84%E9%96%93.%20%C2%A0%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=08E75AE4E2358D54,121.55813,25.05742,臺北市松山區民生東路5段36巷4弄與8弄間
大安區,大安森林公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E4%BF%A1%E7%BE%A9%E8%B7%AF%E4%B8%89%E6%AE%B5100%E8%99%9F.%20%C2%A0%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=E00F3054D0862C2B,121.53653,25.03239,臺北市大安區信義路3段100號
萬華區,青年公園(飛行探索遊戲場),00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E5%B9%B4%E8%B7%AF188%E8%99%9F%E5%B0%8D%E9%9D%A2.,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=950FEC97353E3CB6,121.50367,25.02089,臺北市萬華區青年路188號對面
士林區,天母公園,00:00~24:00,有,有,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%B1%B1%E5%8C%97%E8%B7%AF%E4%B8%83%E6%AE%B5141%E5%B7%B7%E6%97%81%28%E5%A4%A9%E6%AF%8D%E5%85%AC%E5%9C%92%E5%85%A7%29%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=1D446894A971687F,121.53042,25.12593,臺北市士林區中山北路7段141巷旁(天母公園內)
士林區,美崙公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E5%A3%AB%E6%9E%97%E5%8D%80%E7%BE%8E%E5%B4%99%E8%A1%97152%E5%B7%B7%28%E7%BE%8E%E5%B4%99%E5%85%AC%E5%9C%92%E5%85%A7%29%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=F23D718C9B897900,121.51839,25.09731,臺北市士林區美崙街152巷(美崙公園內)
北投區,福星公園(公1公園),00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E6%89%BF%E5%BE%B7%E8%B7%AF%E5%85%AD%E6%AE%B5%E8%88%87%E6%96%87%E6%9E%97%E5%8C%97%E8%B7%AF%E4%BA%A4%E5%8F%89%E5%8F%A3%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=F25E9CABEADEDBB1,121.51322,25.10527,臺北市北投區承德路6段與文林北路交叉口
北投區,七虎公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E5%8C%97%E6%8A%95%E5%8D%80%E8%82%B2%E4%BB%81%E8%B7%AF108%E8%99%9F%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=E0FD2DBA1FB5F688,121.5015,25.13615,臺北市北投區育仁路108號
士林區,福林公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E5%A3%AB%E6%9E%97%E5%8D%80%E4%B8%AD%E6%AD%A3%E8%B7%AF%E8%88%87%E7%A6%8F%E6%9E%97%E8%B7%AF%E9%96%93%28%E7%A6%8F%E6%9E%97%E5%85%AC%E5%9C%92%E5%85%A7%29%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=88888DF9B7701A6D,121.52997,25.09576,臺北市士林區中正路與福林路間(福林公園內)
中山區,花博公園新生園區,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E7%94%9F%E5%8C%97%E8%B7%AF%E4%B8%89%E6%AE%B5105%E8%99%9F%E6%97%81%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=1ED7AE3AA592660C,121.5288,25.07023,臺北市中山區新生北路3段105號旁
北投區,洲美公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E7%BE%8E%E8%B7%AF199%E8%99%9F%E6%97%81%28%E5%8C%97%E8%87%A8%E7%A6%8F%E7%BE%8E%E8%B7%AF%E3%80%81%E5%8D%97%E8%87%A8%E6%B4%B2%E7%BE%8E%E8%A1%97%E3%80%81%E6%9D%B1%E8%87%A8%E8%A8%88%E7%95%AB%E9%81%93%E8%B7%AF%E7%AF%84%E5%9C%8D%E5%85%A7%29%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=7F54524793EF8F35,121.50618,25.10009,臺北市北投區福美路199號旁(北臨福美路、南臨洲美街、東臨計畫道路範圍內)
松山區,敦化公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E5%85%AB%E5%BE%B7%E8%B7%AF%E4%B8%89%E6%AE%B512%E5%B7%B752%E5%BC%842%E4%B9%8B1%E8%99%9F%E9%82%8A%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=F49C325C72633EED,121.55054,25.04645,臺北市松山區八德路3段12巷52弄2之1號邊
松山區,慶城公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E6%85%B6%E5%9F%8E%E8%A1%9716%E5%B7%B7%E3%80%81%E5%8D%97%E4%BA%AC%E6%9D%B1%E8%B7%AF3%E6%AE%B5303%E5%B7%B7%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=99420F5EAA431A30,121.5465,25.05337,臺北市松山區慶城街16巷、南京東路3段303巷
文山區,景美國小,週六、週日12:00~18:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E6%96%87%E5%B1%B1%E5%8D%80%E6%99%AF%E6%96%87%E8%A1%97108%E8%99%9F%E5%AD%B8%E6%A0%A1%E4%BD%8D%E7%BD%AE%E5%9C%96,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=8265876288BA5539,121.54078,24.98948,臺北市文山區景文街108號
信義區,三興國小,週六、週日05:00~18:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%9F%BA%E9%9A%86%E8%B7%AF%E4%BA%8C%E6%AE%B599%E8%99%9F%E5%AD%B8%E6%A0%A1%E4%BD%8D%E7%BD%AE%E5%9C%96,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=2D8D9E71C35D2E87,121.55833,25.02947,臺北市信義區基隆路2段99號
北投區,長安公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E5%8C%97%E6%8A%95%E5%8D%80%E8%82%B2%E4%BB%81%E8%B7%AF%28%E8%96%87%E9%96%A3%E5%9C%8B%E5%B0%8F%E6%97%81%29%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=34D4BF2658676361,121.50025,25.13506,臺北市北投區育仁路(薇閣國小旁)
萬華區,錦德公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E5%BE%B7%E6%98%8C%E8%A1%97%E8%88%87%E8%A5%BF%E5%9C%92%E8%B7%AF%E4%BA%8C%E6%AE%B5281%E5%B7%B7%E4%BA%A4%E5%8F%89%E5%8F%A3%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=E561E9A200D3C42E,121.49243,25.02335,臺北市萬華區德昌街與西園路2段281巷交叉口
大同區,玉泉公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%A5%BF%E5%AF%A7%E5%8C%97%E8%B7%AF28%E8%99%9F%28%E6%BA%AB%E6%B0%B4%E6%B8%B8%E6%B3%B3%E6%B1%A0%E5%A4%96%29%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=D88854EA9D08FE2B,121.50715,25.04955,臺北市大同區西寧北路28號(溫水游泳池外)
大安區,錦安公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E9%87%91%E5%B1%B1%E5%8D%97%E8%B7%AF2%E6%AE%B5203%E5%B7%B7%E5%8F%8A%E9%BA%97%E6%B0%B4%E8%A1%97%E5%8F%A3%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=DFEC6453AA31F93F,121.52805,25.02799,臺北市大安區金山南路2段203巷及麗水街口
大安區,和安公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E5%BE%A9%E8%88%88%E5%8D%97%E8%B7%AF1%E6%AE%B5313%E5%B7%B7%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=3B4CCF6DB9AA73FB,121.54445,25.03456,臺北市大安區復興南路1段313巷
北投區,北投25號線形公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%8A%95%E8%B7%AF%E4%B8%80%E6%AE%B520%E8%99%9F%E6%97%81-%E8%A5%BF%E5%AE%89%E6%A9%8B%E4%B8%8B%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www-ws.gov.taipei/001/Upload/348/relpic/40754/8943337/79b6c48b-fa09-4605-8c99-e0c383e11caf.jpg,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=080C06BA7EF05955,121.50166,25.12321,臺北市北投區北投路一段20號旁-西安橋下
信義區,五分埔公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9D%A1%E5%8C%97%E8%B7%AF%E3%80%81%E6%9D%BE%E9%9A%86%E8%B7%AF%E5%8F%A3%28%E6%9D%BE%E5%B1%B1%E8%BB%8A%E7%AB%99%E5%89%8D%29%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=090DF72CA2C4DD49,121.58024,25.04733,臺北市信義區中坡北路、松隆路口(松山車站前)
士林區,天母國小,週六、週日 05:00~19:00,無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=A65688DA6327B148,121.52769,25.11998,臺北市士林區天玉街12號
中正區,市大附小,週六、週日08:30~16:00,無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=FF79813E6D3BD253,121.51538,25.03592,臺北市中正區公園路29號
文山區,辛亥國小,18：30～21：30,無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://play4u.gov.taipei/aplus2_1.jpg,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=7C26BA27142FE04E,121.55945,25.00626,臺北市文山區辛亥路四段103號
松山區,松山國小,週一至週五 19:00~22:00；週六、週日 08:00~18:00,無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://play4u.gov.taipei/aplus2_1.jpg,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=6264A7D69F36C375,121.57883,25.05081,臺北市松山區八德路四段746號
文山區,武功國小,平日 19:00~21:30；週六、週日 08:00~21:30,無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=9BACD8CABE6CBA63,121.53956,25.00361,臺北市文山區興隆路1段68號
中山區,長安國小,週六、週日08:00~17:00 ,無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://play4u.gov.taipei/aplus2_1.jpg,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=3B9D1BF2225A50E9,121.53048,25.04976,臺北市中山區吉林路15號
南港區,修德國小,目前暫不對外開放,無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=6CC2F881A661B3E4,121.5897,25.04543,臺北市南港區東新街118巷86號
信義區,廣慈博愛園區南區景觀遊戲場,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=9D6E39773488CC54,121.58187,25.03801,臺北市信義區福德街84巷(信義區行政中心北側)
內湖區,行善社會住宅共融式遊戲場,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=642C117D536FBC74,121.58153,25.06029,臺北市內湖區行善路258號
南港區,南港國小,週六、週日 05:00~18:00 ,無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=8A06224B5623D459,121.61044,25.05749,臺北市南港區惠民街67號
內湖區,內湖國小,週六、週日09:00~17:00,無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=BF7C3CF6B75AFDC1,121.58053,25.07975,臺北市內湖區內湖路二段41號
